,X,Y,age_group
0,0.823961612123,0.7235355581,young
1,-0.320189149301,-0.261882259467,young
2,-0.585860997266,-0.302174306573,young
3,0.107517051933,-0.341772146525,young
4,-0.585916059133,0.701321988524,young
5,-0.523686426345,-0.804470634262,young
6,0.322402060286,0.460612314027,young
7,0.484285498163,-0.298629533228,young
8,-0.2174193232,1.0177756473,young
9,0.505973294469,-0.393357964995,young
10,0.913990301551,0.721501661449,young
11,1.18821865589,-0.744826405,young
12,-0.220917824214,1.14842132856,young
13,-0.400483590799,0.15108489304,young
14,-0.409675022724,1.30739849964,young
15,0.101429151625,-0.887806691933,young
0,0.891820638223,-0.687161440715,mid
1,-0.186882322944,-0.070874994819,mid
2,1.35396029334,-0.110661644071,mid
3,0.980590775485,-0.188650576232,mid
4,-0.1787377201,0.0215745608401,mid
5,0.125503970532,1.05405715816,mid
6,0.0197399339982,-0.136392537134,mid
7,0.864438195184,0.259497471244,mid
8,-0.702990760558,0.372087223732,mid
9,0.970879213776,0.940683679808,mid
10,-0.047520687766,0.630687261466,mid
11,0.16772111492,0.226470862839,mid
12,-0.518189237471,-0.513717501882,mid
13,0.14773201631,-0.0135938987455,mid
14,0.887705744253,1.63658426846,mid
15,1.31508868943,0.939323254099,mid
0,2.05625417574,0.109601020352,old
1,-0.312560971158,-0.314360741211,old
2,0.950209662453,1.68206033036,old
3,1.17380333446,-1.2644959642,old
4,-0.0688725168529,-0.263230033923,old
5,0.905641390668,1.08419926654,old
6,-0.772303244313,0.530027117818,old
7,-1.05791228097,0.172461929491,old
8,0.229341814998,-0.876950988254,old
9,1.40749510595,0.122089585479,old
10,0.897676844621,0.304342931547,old
11,0.475540786993,0.306893528805,old
12,0.840909422505,0.558666672527,old
13,-0.449944652648,0.149360587063,old
14,-0.704837211371,-0.471465056057,old
15,0.597422332307,0.669491468554,old
0,-1.49932951739,0.214110498938,all_groups
1,0.707285628147,-0.719204577631,all_groups
2,0.527473951988,1.29858497756,all_groups
3,-1.36798285136,-1.84463202618,all_groups
4,0.347076546539,-1.17342970824,all_groups
5,-0.19656521051,0.52450630557,all_groups
6,1.00248756009,0.401901664676,all_groups
7,0.320108375027,0.245089830505,all_groups
8,0.238350814096,-1.6302385043,all_groups
9,-1.23559976717,-0.966848289654,all_groups
10,-0.0932088394069,-0.0429423968543,all_groups
11,-0.356398037103,-1.06449636799,all_groups
12,-0.830743783137,0.767630622132,all_groups
13,0.222773033793,0.508363313337,all_groups
14,1.28239213237,-0.321409898846,all_groups
15,-0.721975980125,0.175874124864,all_groups
