"","Participant.ID","Timestamp","Center","Left","Right","Answer","Alg.Label","Response.Time..s.","Participant.ID.sub","Condition","Session"
"1","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","monkey.jpg","giraffe.jpg","peacock.jpg","giraffe.jpg","UncertaintySampling","11.718","p016","young","young"
"2","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","squirrel.jpg","bird.jpg","owl.jpg","bird.jpg","RandomSampling","9.434","p016","young","young"
"3","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","zebra.jpg","swan.jpg","raccoon.jpg","raccoon.jpg","UncertaintySampling","3.426","p016","young","young"
"4","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","elephant.jpg","owl.jpg","swan.jpg","owl.jpg","UncertaintySampling","3.872","p016","young","young"
"5","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","duck.jpg","zebra.jpg","peacock.jpg","peacock.jpg","RandomSampling","3.322","p016","young","young"
"6","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","owl.jpg","cow.jpg","swan.jpg","swan.jpg","RandomSampling","3.489","p016","young","young"
"7","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","raccoon.jpg","penguin.jpg","ostrich.jpg","penguin.jpg","RandomSampling","3.496","p016","young","young"
"8","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","cow.jpg","squirrel.jpg","pig.jpg","pig.jpg","UncertaintySampling","2.715","p016","young","young"
"9","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","raccoon.jpg","pig.jpg","monkey.jpg","pig.jpg","UncertaintySampling","5.137","p016","young","young"
"10","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","raccoon.jpg","peacock.jpg","duck.jpg","peacock.jpg","UncertaintySampling","5.791","p016","young","young"
"11","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","peacock.jpg","owl.jpg","cow.jpg","owl.jpg","RandomSampling","3.136","p016","young","young"
"12","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","peacock.jpg","swan.jpg","duck.jpg","swan.jpg","UncertaintySampling","0.344","p016","young","young"
"13","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","squirrel.jpg","bird.jpg","zebra.jpg","bird.jpg","UncertaintySampling","4.809","p016","young","young"
"14","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","giraffe.jpg","ostrich.jpg","penguin.jpg","ostrich.jpg","UncertaintySampling","3.609","p016","young","young"
"15","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","cow.jpg","squirrel.jpg","monkey.jpg","monkey.jpg","RandomSampling","3.92","p016","young","young"
"16","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","rooster.jpg","elephant.jpg","penguin.jpg","penguin.jpg","UncertaintySampling","3.082","p016","young","young"
"17","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","owl.jpg","swan.jpg","cow.jpg","swan.jpg","RandomSampling","2.78","p016","young","young"
"18","99b6f3ffa1bd8598bb5fe7fcc41cd5_p016","2017-01-01 07:35:01.01","raccoon.jpg","ostrich.jpg","peacock.jpg","ostrich.jpg","RandomSampling","4.3","p016","young","young"
