"","Participant.ID","Timestamp","Center","Left","Right","Answer","Alg.Label","Response.Time..s.","Participant.ID.sub","Condition","Session"
"1","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","cow.jpg","monkey.jpg","cow.jpg","UncertaintySampling","21.435","p040","young","young"
"2","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","monkey.jpg","cow.jpg","cow.jpg","UncertaintySampling","6.007","p040","young","young"
"3","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","penguin.jpg","bird.jpg","pig.jpg","bird.jpg","RandomSampling","5.806","p040","young","young"
"4","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","monkey.jpg","cow.jpg","monkey.jpg","UncertaintySampling","3.425","p040","young","young"
"5","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","monkey.jpg","cow.jpg","cow.jpg","UncertaintySampling","6.783","p040","young","young"
"6","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","cow.jpg","monkey.jpg","monkey.jpg","UncertaintySampling","4.531","p040","young","young"
"7","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","cow.jpg","monkey.jpg","monkey.jpg","UncertaintySampling","9.471","p040","young","young"
"8","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","monkey.jpg","cow.jpg","monkey.jpg","UncertaintySampling","4.385","p040","young","young"
"9","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","monkey.jpg","cow.jpg","monkey.jpg","UncertaintySampling","5.178","p040","young","young"
"10","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","cow.jpg","monkey.jpg","cow.jpg","UncertaintySampling","2.719","p040","young","young"
"11","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","monkey.jpg","cow.jpg","cow.jpg","UncertaintySampling","1.112","p040","young","young"
"12","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","cow.jpg","monkey.jpg","monkey.jpg","UncertaintySampling","3.824","p040","young","young"
"13","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","monkey.jpg","cow.jpg","monkey.jpg","UncertaintySampling","1.327","p040","young","young"
"14","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","cow.jpg","monkey.jpg","monkey.jpg","UncertaintySampling","1.101","p040","young","young"
"15","99b6f3ffa1bd8598bb5fe7fcc41cd5_p040","2017-01-01 07:35:01.01","giraffe.jpg","monkey.jpg","cow.jpg","monkey.jpg","UncertaintySampling","1.925","p040","young","young"
