subjCode,trialNum,animals,response,notes,date
p001,1,penguin,penguin,,3/11/17
p001,2,swan,swan,,3/11/17
p001,3,ostrich,ostrich,,3/11/17
p001,4,bird,bird,,3/11/17
p001,5,rooster,rooster,,3/11/17
p001,6,raccoon,porcupine,,3/11/17
p001,7,pig,pig,,3/11/17
p001,8,owl,owl,,3/11/17
p001,9,zebra,zebra,,3/11/17
p001,10,giraffe,giraffe,,3/11/17
p001,11,peacock,peacock,,3/11/17
p001,12,duck,duck,,3/11/17
p001,13,squirrel,squirrel,,3/11/17
p001,14,cow,cow,,3/11/17
p001,15,monkey,monkey,,3/11/17
p001,16,elephant,elephant,,3/11/17
P002,1,raccoon,raccoon,,3/11/17
P002,2,rooster,chickie,,3/11/17
P002,3,monkey,monkey,,3/11/17
P002,4,owl,owl,,3/11/17
P002,5,elephant,elephant,,3/11/17
P002,6,penguin,penguin,,3/11/17
P002,7,zebra,zebra,,3/11/17
P002,8,duck,duck,,3/11/17
P002,9,swan,duck,,3/11/17
P002,10,cow,cow,,3/11/17
P002,11,squirrel,squirrel,,3/11/17
P002,12,giraffe,giraffe,,3/11/17
P002,13,bird,birdie,,3/11/17
P002,14,ostrich,ostrich,,3/11/17
P002,15,peacock,none,no answer,3/11/17
P002,16,pig,piggie,,3/11/17
p003,1,pig,pig,,3/11/17
p003,2,penguin,penguin,,3/11/17
p003,3,raccoon,raccoon,,3/11/17
p003,4,elephant,elephant,,3/11/17
p003,5,peacock,peacock,,3/11/17
p003,6,duck,duck,,3/11/17
p003,7,monkey,monkey,,3/11/17
p003,8,zebra,zebra,,3/11/17
p003,9,squirrel,squirrel,,3/11/17
p003,10,ostrich,ostrich,"started with ""peac-""",3/11/17
p003,11,cow,cow,,3/11/17
p003,12,owl,owl,,3/11/17
p003,13,swan,geese,,3/11/17
p003,14,bird,birdie,,3/11/17
p003,15,giraffe,giraffe,,3/11/17
p003,16,rooster,chicken,,3/11/17
p005,1,zebra,none,no response,3/11/17
p005,2,cow,none,no response,3/11/17
p005,3,peacock,goose,,3/11/17
p005,4,ostrich,donkey,,3/11/17
p005,5,bird,bird,,3/11/17
p005,6,monkey,monkey,,3/11/17
p005,7,owl,owl,,3/11/17
p005,8,duck,none,no response,3/11/17
p005,9,elephant,elephant,,3/11/17
p005,10,penguin,none,no response,3/11/17
p005,11,swan,none,no response,3/11/17
p005,12,rooster,rooster,,3/11/17
p005,13,giraffe,elephant,,3/11/17
p005,14,squirrel,none,no response,3/11/17
p005,15,pig,none,no response,3/11/17
p005,16,raccoon,fox,,3/11/17
P004,1,bird,bird,,3/11/17
P004,2,penguin,penguin,,3/11/17
P004,3,raccoon,fox,,3/11/17
P004,4,squirrel,squirrel,,3/11/17
P004,5,cow,cow,,3/11/17
P004,6,monkey,monkey,,3/11/17
P004,7,rooster,chicken,,3/11/17
P004,8,giraffe,giraffe,,3/11/17
P004,9,owl,owl,,3/11/17
P004,10,swan,goose,,3/11/17
P004,11,ostrich,flamingo,,3/11/17
P004,12,pig,pig,,3/11/17
P004,13,elephant,elephant,,3/11/17
P004,14,zebra,zebra,,3/11/17
P004,15,duck,duck,,3/11/17
