subjCode,trialNum,animals,response,notes,date
P004,16,peacock,peacock,,3/11/17
p007,1,elephant,none,no response,3/11/17
p007,2,owl,owl,,3/11/17
p007,3,rooster,chicken,,3/11/17
p007,4,pig,pig,,3/11/17
p007,5,raccoon,raccoon,,3/11/17
p007,6,peacock,none,no response,3/11/17
p007,7,duck,duckie,,3/11/17
p007,8,monkey,monkey,,3/11/17
p007,9,squirrel,squirrel,s not pronounced (quirrel),3/11/17
p007,10,ostrich,none,no response,3/11/17
p007,11,penguin,pangu,,3/11/17
p007,12,giraffe,giraffe,(pronounced siraffe),3/11/17
p007,13,swan,duckie,,3/11/17
p007,14,bird,bird,,3/11/17
p007,15,cow,cow,,3/11/17
p007,16,zebra,zebra,,3/11/17
p009,1,ostrich,ostrich,,3/11/17
p009,2,squirrel,squirrel,,3/11/17
p009,3,peacock,turkey,,3/11/17
p009,4,duck,duck,,3/11/17
p009,5,elephant,elephant,,3/11/17
p009,6,owl,owl,,3/11/17
p009,7,raccoon,raccoon,,3/11/17
p009,8,bird,bird,,3/11/17
p009,9,cow,cow,,3/11/17
p009,10,giraffe,giraffe,,3/11/17
p009,11,monkey,monkey,,3/11/17
p009,12,pig,pig,,3/11/17
p009,13,zebra,zebra,,3/11/17
p009,14,swan,duck,,3/11/17
p009,15,rooster,rooster,,3/11/17
p009,16,penguin,penguin,,3/11/17
p006,1,peacock,turkey,,3/11/17
p006,2,zebra,zebra,,3/11/17
p006,3,giraffe,giraffe,,3/11/17
p006,4,ostrich,flamingo,,3/11/17
p006,5,pig,pig,,3/11/17
p006,6,duck,duck,,3/11/17
p006,7,swan,duck,,3/11/17
p006,8,owl,owl,,3/11/17
p006,9,squirrel,squirrel,,3/11/17
p006,10,rooster,chicken,,3/11/17
p006,11,penguin,penguin,,3/11/17
p006,12,raccoon,raccoon,,3/11/17
p006,13,bird,bird,,3/11/17
p006,14,cow,cow,,3/11/17
p006,15,elephant,elephant,,3/11/17
p006,16,monkey,monkey,,3/11/17
P010,1,owl,owl,,3/18/17
P010,2,monkey,monkey,,3/18/17
P010,3,swan,duckie,,3/18/17
P010,4,ostrich,none,I don’t know,3/18/17
P010,5,rooster,turkey,,3/18/17
P010,6,giraffe,giraffe,,3/18/17
P010,7,duck,duck,,3/18/17
P010,8,cow,cow,,3/18/17
P010,9,elephant,elephant,,3/18/17
P010,10,penguin,penguin,,3/18/17
P010,11,zebra,zebra,,3/18/17
P010,12,squirrel,squirrel,,3/18/17
P010,13,raccoon,raccoon,,3/18/17
P010,14,peacock,none,I don’t know,3/18/17
P010,15,pig,piggie,,3/18/17
P010,16,bird,birdie,,3/18/17
P011,1,giraffe,giraffe,,3/18/17
P011,2,bird,bird,,3/18/17
P011,3,raccoon,raccoon,,3/18/17
P011,4,zebra,zebra,,3/18/17
P011,5,swan,swan,,3/18/17
P011,6,rooster,chicken,,3/18/17
P011,7,squirrel,squirrel,,3/18/17
P011,8,ostrich,flamingo,,3/18/17
P011,9,duck,duck,,3/18/17
P011,10,elephant,elephant,,3/18/17
P011,11,pig,pig,,3/18/17
P011,12,peacock,peacock,,3/18/17
P011,13,penguin,penguin,,3/18/17
P011,14,monkey,monkey,,3/18/17
P011,15,owl,owl,,3/18/17
P011,16,cow,cow,,3/18/17
p012,1,rooster,rooster,,3/18/17
p012,2,bird,bird,,3/18/17
p012,3,owl,owl,,3/18/17
p012,4,duck,duck,,3/18/17
p012,5,raccoon,raccoon,,3/18/17
p012,6,giraffe,giraffe,,3/18/17
p012,7,zebra,zebra,,3/18/17
p012,8,peacock,peacock,,3/18/17
p012,9,swan,swan,,3/18/17
p012,10,ostrich,none,not sure,3/18/17
p012,11,cow,cow,,3/18/17
p012,12,squirrel,squirrel,,3/18/17
p012,13,pig,pig,,3/18/17
p012,14,monkey,monkey,,3/18/17
p012,15,elephant,elephant,,3/18/17
p012,16,penguin,penguin,,3/18/17
p013,1,squirrel,none,maybe shy at beginning,
p013,2,swan,none,,
p013,3,bird,birdie,,
p013,4,duck,duck,,
p013,5,cow,cow,,
p013,6,pig,pig,,
p013,7,giraffe,giraffe,,
p013,8,penguin,penguine,,
p013,9,raccoon,None,,
p013,10,rooster,turkey,,
p013,11,ostrich,none,,
p013,12,zebra,zebra,,
p013,13,monkey,monkey,,
p013,14,peacock,none,,
p013,15,elephant,elephant,,
p013,16,owl,owl,,
p014,1,peacock,peacock,,3/18/17
p014,2,cow,cow,,3/18/17
p014,3,rooster,chicken,,3/18/17
p014,4,squirrel,squirrel,,3/18/17
p014,5,giraffe,giraffe,,3/18/17
p014,6,raccoon,none,I don’t know,3/18/17
p014,7,elephant,elephant,,3/18/17
p014,8,pig,pig,,3/18/17
p014,9,penguin,penguin,,3/18/17
p014,10,zebra,zebra,,3/18/17
p014,11,duck,duck,,3/18/17
p014,12,swan,none,I don’t know,3/18/17
p014,13,bird,bird,,3/18/17
p014,14,monkey,monkey,,3/18/17
p014,15,ostrich,peacock,,3/18/17
p014,16,owl,owl,,3/18/17
p015,1,rooster,rooster,,3/18/17
p015,2,owl,owl,,3/18/17
p015,3,peacock,chicken,,3/18/17
p015,4,ostrich,flamingo,,3/18/17
p015,5,elephant,elephant,,3/18/17
p015,6,duck,duck,,3/18/17
p015,7,swan,swan,,3/18/17
p015,8,squirrel,squirrel,,3/18/17
p015,9,cow,cow,said moose first then corrected himself ,3/18/17
p015,10,giraffe,giraffe,,3/18/17
p015,11,pig,pig,,3/18/17
p015,12,zebra,zebra,,3/18/17
p015,13,penguin,penguin,,3/18/17
p015,14,raccoon,fox,,3/18/17
p015,15,bird,bird,,3/18/17
p015,16,monkey,monkey,,3/18/17
p016,1,squirrel,squirrel,,3/18/17
p016,2,ostrich,goose,,3/18/17
p016,3,penguin,penguin,,3/18/17
p016,4,duck,duckie,,3/18/17
p016,5,owl,owl,,3/18/17
p016,6,monkey,monkey,,3/18/17
p016,7,rooster,rooster,,3/18/17
p016,8,elephant,elephant,,3/18/17
p016,9,bird,birdie,,3/18/17
p016,10,zebra,zebra,,3/18/17
p016,11,cow,cow,,3/18/17
p016,12,swan,duckie,,3/18/17
p016,13,pig,pig,,3/18/17
p016,14,raccoon,raccoon,,3/18/17
p016,15,peacock,peacock,long hesitation,3/18/17
p016,16,giraffe,giraffe,,3/18/17
p017,1,peacock,peacock,,3/18/17
p017,2,penguin,penguin,,3/18/17
p017,3,monkey,monkey,,3/18/17
p017,4,giraffe,giraffe,,3/18/17
p017,5,rooster,chicken,,3/18/17
p017,6,squirrel,squirrel,,3/18/17
p017,7,elephant,elephant,,3/18/17
p017,8,raccoon,racoon,,3/18/17
p017,9,duck,duck,,3/18/17
p017,10,ostrich,flamingo,,3/18/17
p017,11,cow,cow,,3/18/17
p017,12,zebra,zebra,,3/18/17
p017,13,pig,pig,,3/18/17
p017,14,swan,swan,,3/18/17
p017,15,owl,owl,,3/18/17
p017,16,bird,bird,,3/18/17
p018,1,owl,none,"""silly response"": Preston",
p018,2,raccoon,none,"""silly response"": Lila",
p018,3,rooster,chicken,,
p018,4,duck,duck,,
p018,5,bird,butterfly,,
p018,6,peacock,none,"""silly response"": tortilla",
p018,7,cow,bear,,
p018,8,ostrich,none,"""silly response"": cheese",
p018,9,giraffe,giraffe,,
p018,10,pig,none,"""silly response"": tyranosourous ",
p018,11,penguin,penguin,,
p018,12,elephant,elephant,,
p018,13,swan,duck,,
p018,14,zebra,zebra,,
p018,15,squirrel,squirrel,,
p018,16,monkey,monkey,,
P020,1,ostrich,flamingo,,3/21/17
P020,2,raccoon,raccoon,,3/21/17
P020,3,monkey,monkey,,3/21/17
P020,4,swan,swan,,3/21/17
P020,5,bird,bird,,3/21/17
P020,6,rooster,rooster,,3/21/17
P020,7,elephant,elephant,,3/21/17
P020,8,peacock,chicken,,3/21/17
P020,9,owl,owl,,3/21/17
P020,10,pig,piggie,,3/21/17
P020,11,cow,cow,,3/21/17
P020,12,zebra,zebra,,3/21/17
P020,13,giraffe,giraffe,,3/21/17
P020,14,squirrel,squirrel,,3/21/17
P020,15,penguin,penguin,,3/21/17
P020,16,duck,swan,,3/21/17
P021,1,giraffe,giraffe,,3/21/17
P021,2,pig,pig,,3/21/17
P021,3,peacock,chicken,,3/21/17
P021,4,swan,none,I don’t know,3/21/17
P021,5,monkey,monkey,,3/21/17
P021,6,owl,eagle,,3/21/17
P021,7,duck,birdie,,3/21/17
P021,8,penguin,penguin,,3/21/17
P021,9,cow,cow,,3/21/17
P021,10,zebra,zebra,said giraffe first,3/21/17
P021,11,rooster,chicken,,3/21/17
P021,12,ostrich,none,not sure,3/21/17
P021,13,bird,birdie,,3/21/17
P021,14,squirrel,squirrel,,3/21/17
P021,15,elephant,elephant,,3/21/17
P021,16,raccoon,wolf,,3/21/17
p023,1,zebra,zebra,,3/22/17
p023,2,rooster,rooster,chicken first?,3/22/17
p023,3,squirrel,squirrel,,3/22/17
p023,4,duck,duck,,3/22/17
p023,5,cow,cow,,3/22/17
p023,6,raccoon,raccoon,,3/22/17
p023,7,owl,owl,,3/22/17
p023,8,pig,pig,,3/22/17
p023,9,giraffe,giraffe,,3/22/17
p023,10,elephant,elephant,,3/22/17
p023,11,monkey,monkey,,3/22/17
p023,12,penguin,penguin,,3/22/17
p023,13,bird,bird,,3/22/17
p023,14,peacock,peacock,,3/22/17
p023,15,swan,swan,,3/22/17
p023,16,ostrich,flamingo,,3/22/17
p024,1,zebra,zebra,,3/22/17
p024,2,duck,duck,,3/22/17
p024,3,raccoon,fox,,3/22/17
p024,4,cow,cow,,3/22/17
p024,5,rooster,chicken,,3/22/17
p024,6,pig,piggie,,3/22/17
p024,7,elephant,elephant,,3/22/17
p024,8,squirrel,squirrel,,3/22/17
p024,9,peacock,peacock,,3/22/17
p024,10,ostrich,chicken,,3/22/17
p024,11,giraffe,giraffe,,3/22/17
p024,12,owl,owl,,3/22/17
p024,13,bird,birdie,,3/22/17
p024,14,swan,duck,,3/22/17
p024,15,monkey,monkey,,3/22/17
p024,16,penguin,penguin,,3/22/17
p025,1,ostrich,ostrich,,3/22/17
p025,2,monkey,monkey,,3/22/17
p025,3,raccoon,raccoon,,3/22/17
p025,4,penguin,penguin,,3/22/17
p025,5,peacock,ostrich,,3/22/17
p025,6,squirrel,squirrel,"""grey-horned""",3/22/17
p025,7,owl,owl,,3/22/17
p025,8,pig,pig,,3/22/17
p025,9,duck,duck,,3/22/17
p025,10,bird,bird,,3/22/17
p025,11,giraffe,giraffe,,3/22/17
p025,12,rooster,rooster,,3/22/17
p025,13,elephant,elephant,,3/22/17
p025,14,swan,swan,goose/swan,3/22/17
p025,15,cow,cow,,3/22/17
p025,16,zebra,zebra,,3/22/17
p026,1,bird,birdie,,3/22/17
p026,2,penguin,penguin,,3/22/17
p026,3,peacock,bird,,3/22/17
p026,4,zebra,zebra,,3/22/17
p026,5,squirrel,squirrel,,3/22/17
p026,6,duck,duck,,3/22/17
p026,7,elephant,elephant,,3/22/17
p026,8,swan,bird,,3/22/17
p026,9,rooster,chicken,,3/22/17
p026,10,ostrich,hippopatamus ,,3/22/17
p026,11,cow,cow,silly responses first,3/22/17
p026,12,giraffe,zebra,,3/22/17
p026,13,owl,bird,,3/22/17
p026,14,raccoon,fox,,3/22/17
p026,15,monkey,monkey,,3/22/17
p026,16,pig,zebra,"silly response, maybe ready to be done ",3/22/17
P027,1,rooster,chicken,,3/22/17
P027,2,raccoon,fox,,3/22/17
P027,3,bird,bird,,3/22/17
P027,4,swan,duck,,3/22/17
P027,5,duck,duck,,3/22/17
P027,6,peacock,chicken,,3/22/17
P027,7,pig,pig,,3/22/17
P027,8,owl,owl,,3/22/17
P027,9,zebra,zebra,,3/22/17
P027,10,cow,cow,,3/22/17
P027,11,squirrel,squirrel,,3/22/17
P027,12,penguin,penguin,,3/22/17
P027,13,elephant,elephant,,3/22/17
P027,14,giraffe,giraffe,,3/22/17
P027,15,ostrich,duck,,3/22/17
P027,16,monkey,gorilla,,3/22/17
p028,1,elephant,elephant,,3/23/17
p028,2,bird,bird,,3/23/17
p028,3,monkey,monkey,,3/23/17
p028,4,swan,goose,,3/23/17
p028,5,ostrich,ostrich,,3/23/17
p028,6,rooster,rooster,,3/23/17
p028,7,owl,owl,,3/23/17
p028,8,peacock,bushy tail,"I don’t remember ""bushy tail""",3/23/17
p028,9,giraffe,giraffe,,3/23/17
p028,10,raccoon,squant,"told long story about this, maybe a character from a story?",3/23/17
p028,11,duck,chick,,3/23/17
p028,12,pig,pig,,3/23/17
p028,13,cow,cow,,3/23/17
p028,14,zebra,zebra,,3/23/17
p028,15,penguin,penguin,,3/23/17
p028,16,squirrel,squirrel,,3/23/17
p029,1,pig,pig,,3/23/17
p029,2,zebra,zebra,,3/23/17
p029,3,squirrel,squirrel,,3/23/17
p029,4,cow,cow,,3/23/17
p029,5,penguin,penguin,,3/23/17
p029,6,ostrich,stork,"after promting ""if you had to call it something""",3/23/17
p029,7,bird,bird,,3/23/17
p029,8,swan,swan,,3/23/17
p029,9,giraffe,giraffe,,3/23/17
p029,10,monkey,monkey,,3/23/17
p029,11,peacock,none,I don’t know,3/23/17
p029,12,duck,duck,,3/23/17
p029,13,elephant,elephant,,3/23/17
p029,14,owl,owl,,3/23/17
p029,15,rooster,chicken,,3/23/17
p029,16,raccoon,raccoon,,3/23/17
P030,1,raccoon,raccoon,,3/23/17
P030,2,squirrel,squirrel,,3/23/17
P030,3,owl,owl,,3/23/17
P030,4,giraffe,giraffe,,3/23/17
P030,5,duck,duck,,3/23/17
P030,6,swan,swan,,3/23/17
P030,7,elephant,elephant,,3/23/17
P030,8,monkey,monkey,,3/23/17
P030,9,zebra,zebra,,3/23/17
P030,10,bird,bird,,3/23/17
P030,11,rooster,chicken,,3/23/17
P030,12,cow,cow,,3/23/17
P030,13,pig,pig,,3/23/17
P030,14,ostrich,goose,,3/23/17
P030,15,penguin,penguin,,3/23/17
P030,16,peacock,flamingo,,3/23/17
p031,1,duck,duckie,,3/23/17
p031,2,swan,rooster,"was unsure, only after prompting",3/23/17
p031,3,rooster,rooster,,3/23/17
p031,4,pig,pig,,3/23/17
p031,5,giraffe,giraffe,,3/23/17
p031,6,zebra,sebra,,3/23/17
p031,7,ostrich,seagull,after prompting,3/23/17
p031,8,elephant,elephant,,3/23/17
p031,9,raccoon,racoon,,3/23/17
p031,10,cow,cow,,3/23/17
p031,11,penguin,penguin,,3/23/17
p031,12,monkey,monkey,,3/23/17
p031,13,peacock,seagull,,3/23/17
p031,14,bird,birdie,,3/23/17
p031,15,owl,owl,,3/23/17
p031,16,squirrel,mouse,,3/23/17
p032,1,bird,bird,,3/23/17
p032,2,duck,duck,,3/23/17
p032,3,peacock,peacock,,3/23/17
p032,4,penguin,penguin,,3/23/17
p032,5,giraffe,giraffe,,3/23/17
p032,6,ostrich,ostrich,,3/23/17
p032,7,squirrel,squirrel,,3/23/17
p032,8,rooster,chicken,,3/23/17
p032,9,swan,duck,,3/23/17
p032,10,owl,owl,,3/23/17
p032,11,cow,cow,,3/23/17
p032,12,zebra,zebra,,3/23/17
p032,13,pig,pig,,3/23/17
p032,14,elephant,elephant,,3/23/17
p032,15,raccoon,raccoon,,3/23/17
p032,16,monkey,monkey,,3/23/17
p033,1,raccoon,raccoon,,3/23/17
p033,2,squirrel,squirrel,,3/23/17
p033,3,rooster,chicken,,3/23/17
p033,4,elephant,elephant,,3/23/17
p033,5,peacock,NA,child skipped trial accidentally,3/23/17
p033,6,monkey,monkey,,3/23/17
p033,7,duck,duck,,3/23/17
p033,8,owl,owl,,3/23/17
p033,9,cow,cow,,3/23/17
p033,10,giraffe,giraffe,,3/23/17
p033,11,swan,swan,,3/23/17
p033,12,bird,bird,,3/23/17
p033,13,ostrich,ostrich,,3/23/17
p033,14,pig,pig,,3/23/17
p033,15,zebra,zebra,,3/23/17
p033,16,penguin,penguin,,3/23/17
p034,1,duck,duck,,3/31/17
p034,2,raccoon,fox,,3/31/17
p034,3,swan,duck,,3/31/17
p034,4,peacock,none,,3/31/17
p034,5,rooster,something you wake up to in the morning,,3/31/17
p034,6,bird,bird,,3/31/17
p034,7,pig,pig,,3/31/17
p034,8,giraffe,giraffe,,3/31/17
p034,9,squirrel,squirrel,,3/31/17
p034,10,cow,cow,,3/31/17
p034,11,elephant,elephant,,3/31/17
p034,12,ostrich,none,,3/31/17
p034,13,monkey,monkey,,3/31/17
p034,14,owl,owl,,3/31/17
p034,15,penguin,penguin,,3/31/17
p034,16,zebra,zebra,,3/31/17
p035,1,swan,duck,,3/31/17
p035,2,ostrich,none,I don’t know,3/31/17
p035,3,raccoon,none,I don’t know,3/31/17
p035,4,peacock,none,I don’t know,3/31/17
p035,5,cow,none,I don’t know,3/31/17
p035,6,giraffe,giraffe,,3/31/17
p035,7,duck,swan,,3/31/17
p035,8,zebra,zebra,,3/31/17
p035,9,owl,owl,,3/31/17
p035,10,rooster,chicken,,3/31/17
p035,11,monkey,monkey,,3/31/17
p035,12,bird,bird,,3/31/17
p035,13,penguin,none,I don’t know,3/31/17
p035,14,elephant,elephant,,3/31/17
p035,15,pig,pig,,3/31/17
p035,16,squirrel,squirrel,,3/31/17
P036,1,bird,bird,,3/31/17
P036,2,rooster,chicken,,3/31/17
P036,3,ostrich,peacock,,3/31/17
P036,4,duck,duck,,3/31/17
P036,5,swan,goose,,3/31/17
P036,6,elephant,elephant,,3/31/17
P036,7,cow,cow,,3/31/17
P036,8,owl,owl,,3/31/17
P036,9,raccoon,racoon,,3/31/17
P036,10,zebra,zebra,,3/31/17
P036,11,giraffe,giraffe,,3/31/17
P036,12,peacock,peacock,,3/31/17
P036,13,monkey,monkey,,3/31/17
P036,14,pig,pig,,3/31/17
P036,15,squirrel,squirrel,,3/31/17
P036,16,penguin,penguin,,3/31/17
p037,1,ostrich,flamingo,,3/31/17
p037,2,penguin,penguin,,3/31/17
p037,3,pig,pig,,3/31/17
p037,4,rooster,rooster,,3/31/17
p037,5,cow,cow,,3/31/17
p037,6,squirrel,squirrel,,3/31/17
p037,7,swan,duck,,3/31/17
p037,8,giraffe,giraffe,,3/31/17
p037,9,raccoon,skunk,,3/31/17
p037,10,peacock,none,I don’t know,3/31/17
p037,11,monkey,gorilla,,3/31/17
p037,12,owl,owl,,3/31/17
p037,13,bird,bird,,3/31/17
p037,14,zebra,zebra,,3/31/17
p037,15,elephant,elephant,,3/31/17
p037,16,duck,duck,,3/31/17
p038,1,swan,swan,,3/31/17
p038,2,owl,owl,,3/31/17
p038,3,squirrel,squirrel,,3/31/17
p038,4,pig,pig,,3/31/17
p038,5,peacock,peacock,,3/31/17
p038,6,rooster,chicken,,3/31/17
p038,7,elephant,elephant,,3/31/17
p038,8,monkey,monkey,,3/31/17
p038,9,raccoon,racoon,,3/31/17
p038,10,cow,cow,,3/31/17
p038,11,duck,duck,,3/31/17
p038,12,zebra,zebra,,3/31/17
p038,13,bird,bird,,3/31/17
p038,14,ostrich,flamingo,,3/31/17
p038,15,penguin,penguin,,3/31/17
p038,16,giraffe,giraffe,,3/31/17
p039,1,elephant,elephant,,3/31/17
p039,2,swan,swan,,3/31/17
p039,3,bird,bird,,3/31/17
p039,4,owl,owl,,3/31/17
p039,5,cow,cow,,3/31/17
p039,6,giraffe,giraffe,,3/31/17
p039,7,zebra,zebra,,3/31/17
p039,8,ostrich,toucan,,3/31/17
p039,9,raccoon,racoon,,3/31/17
p039,10,penguin,penguin,,3/31/17
p039,11,peacock,peacock,,3/31/17
p039,12,duck,duck,,3/31/17
p039,13,rooster,rooster,,3/31/17
p039,14,monkey,monkey,,3/31/17
p039,15,squirrel,squirrel,,3/31/17
p039,16,pig,pig,,3/31/17
p040,1,ostrich,ostrich,,3/31/17
p040,2,zebra,zebra,,3/31/17
p040,3,monkey,monkey,,3/31/17
p040,4,peacock,flamingo,I don’t know,3/31/17
p040,5,elephant,elephant,,3/31/17
p040,6,bird,bird,,3/31/17
p040,7,owl,owl,,3/31/17
p040,8,rooster,rooster,,3/31/17
p040,9,swan,none,I don’t know,3/31/17
p040,10,pig,pig,,3/31/17
p040,11,cow,cow,,3/31/17
p040,12,duck,duck,,3/31/17
p040,13,giraffe,giraffe,,3/31/17
p040,14,squirrel,squirrel,,3/31/17
p040,15,penguin,penguin,,3/31/17
p040,16,raccoon,fox,,3/31/17
p041,1,cow,cow,,3/31/17
p041,2,zebra,zebra,,3/31/17
p041,3,raccoon,racoon,,3/31/17
p041,4,penguin,penguin,,3/31/17
p041,5,elephant,elephant,,3/31/17
p041,6,ostrich,flamingo,,3/31/17
p041,7,owl,owl,,3/31/17
p041,8,squirrel,squirrel,,3/31/17
p041,9,monkey,monkey,,3/31/17
p041,10,swan,swan,,3/31/17
p041,11,pig,pig,,3/31/17
p041,12,giraffe,giraffe,,3/31/17
p041,13,bird,bird,,3/31/17
p041,14,rooster,rooster,"chicken or rooster, probably rooster",3/31/17
p041,15,duck,duck,,3/31/17
p041,16,peacock,quail,best guess?,3/31/17
P042,1,cow,cow,,4/1//2017
P042,2,duck,duck,,4/1//2017
P042,3,penguin,penguin,,4/1//2017
P042,4,owl,owl,,4/1//2017
P042,5,giraffe,giraffe,,4/1//2017
P042,6,monkey,monkey,,4/1//2017
P042,7,bird,bird,,4/1//2017
P042,8,squirrel,squirrel,,4/1//2017
P042,9,pig,pig,,4/1//2017
P042,10,zebra,zebra,,4/1//2017
P042,11,swan,swan,,4/1//2017
P042,12,rooster,chicken,,4/1//2017
P042,13,ostrich,flamingo,,4/1//2017
P042,14,raccoon,raccoon,,4/1//2017
P042,15,elephant,elephant,,4/1//2017
P042,16,peacock,peacock,,4/1//2017
p043,1,ostrich,ostrich,,4/1//2017
p043,2,peacock,none,,4/1//2017
p043,3,squirrel,squirrel,,4/1//2017
p043,4,duck,duck,,4/1//2017
p043,5,owl,owl,,4/1//2017
p043,6,penguin,penguin,,4/1//2017
p043,7,giraffe,giraffe,,4/1//2017
p043,8,swan,goose,,4/1//2017
p043,9,rooster,hen,,4/1//2017
p043,10,cow,cow,,4/1//2017
p043,11,pig,pig,,4/1//2017
p043,12,elephant,elephant,,4/1//2017
p043,13,zebra,zebra,,4/1//2017
p043,14,raccoon,raccoon,,4/1//2017
p043,15,bird,bird,,4/1//2017
p043,16,monkey,monkey,,4/1//2017
P044,1,elephant,elephant,,4/1//2017
P044,2,ostrich,ostrich,,4/1//2017
P044,3,penguin,penguin,,4/1//2017
P044,4,peacock,peacock,,4/1//2017
P044,5,swan,swan,,4/1//2017
P044,6,monkey,monkey,,4/1//2017
P044,7,owl,owl,,4/1//2017
P044,8,raccoon,raccoon,,4/1//2017
P044,9,squirrel,squirrel,,4/1//2017
P044,10,pig,pig,,4/1//2017
P044,11,cow,cow,,4/1//2017
P044,12,zebra,zebra,,4/1//2017
P044,13,giraffe,giraffe,,4/1//2017
P044,14,duck,duck,,4/1//2017
P044,15,rooster,chicken,,4/1//2017
P044,16,bird,bird,,4/1//2017
p045,1,raccoon,raccoon,,4/1//2017
p045,2,duck,goose,,4/1//2017
p045,3,squirrel,squirrel,,4/1//2017
p045,4,peacock,bird,"""with fancy feathers""",4/1//2017
p045,5,zebra,zebra,,4/1//2017
p045,6,giraffe,giraffe,,4/1//2017
p045,7,bird,bird,,4/1//2017
p045,8,owl,owl,,4/1//2017
p045,9,penguin,penguin,,4/1//2017
p045,10,ostrich,ostrich,,4/1//2017
p045,11,rooster,chicken,,4/1//2017
p045,12,monkey,moneky,,4/1//2017
p045,13,cow,cow,,4/1//2017
p045,14,elephant,elephant,,4/1//2017
p045,15,swan,swan,,4/1//2017
p045,16,pig,pig,,4/1//2017
P046,1,cow,cow,,4/1//2017
P046,2,peacock,peacock,,4/1//2017
P046,3,penguin,penguin,,4/1//2017
P046,4,giraffe,giraffe,,4/1//2017
P046,5,zebra,zebra,,4/1//2017
P046,6,monkey,monkey,,4/1//2017
P046,7,elephant,elephant,,4/1//2017
P046,8,squirrel,squirrel,,4/1//2017
P046,9,bird,bird,,4/1//2017
P046,10,pig,pig,,4/1//2017
P046,11,raccoon,skunk,,4/1//2017
P046,12,duck,goose,,4/1//2017
P046,13,rooster,chicken,,4/1//2017
P046,14,ostrich,none,didn’t know,4/1//2017
P046,15,swan,goose,,4/1//2017
P046,16,owl,owl,,4/1//2017
p047,1,squirrel,squirrel,,4/1//2017
p047,2,penguin,penguin,,4/1//2017
p047,3,swan,duck,,4/1//2017
p047,4,zebra,zebra,,4/1//2017
p047,5,giraffe,giraffe,,4/1//2017
p047,6,rooster,chicken,,4/1//2017
p047,7,cow,bull,,4/1//2017
p047,8,monkey,monkey,,4/1//2017
