p010,3/18/17,13:26,young,vocab_data,23,"{""0"":""goat""","1:""panda""","2:""camel""","3:""parrot""","4:""peacock""","5:""penguin""","6:""bluebird""","7:""rhinoceros""","8:""gorilla""","9:""koala""","10:""buffalo""","11:""owl""","12:""eagle""","13:""swan""","14:""rooster""","15:""coyote""","16:""hyena""","17:""raccoon""","18:""crane""","19:""hawk""","20:""porcupine""","21:""hippopotamus""","22:""chimpanzee""}",,,
p010,3/18/17,13:26,young,practice_trial,1,chair,,,,,,,,,,,,,,,,,,,,,,,,,
p010,3/18/17,13:26,young,practice_trial,2,banana,,,,,,,,,,,,,,,,,,,,,,,,,
p011,3/18/17,14:13,middle,vocab_data,18,"{""0"":""goat""","1:""panda""","2:""otter""","3:""camel""","4:""parrot""","5:""seagull""","6:""peacock""","7:""penguin""","8:""bluebird""","9:""gorilla""","10:""owl""","11:""eagle""","12:""rooster""","13:""raccoon""","14:""woodpecker""","15:""hippopotamus""","16:""chimpanzee""","17:""weasel""}",,,,,,,,
p011,3/18/17,14:34,middle,vocab_data,21,"{""0"":""goat""","1:""panda""","2:""otter""","3:""camel""","4:""parrot""","5:""seagull""","6:""peacock""","7:""penguin""","8:""rhinoceros""","9:""gorilla""","10:""buffalo""","11:""owl""","12:""eagle""","13:""ostrich""","14:""rooster""","15:""panther""","16:""raccoon""","17:""woodpecker""","18:""hippopotamus""","19:""chimpanzee""","20:""weasel""}",,,,,
p011,3/18/17,14:34,middle,practice_trial,1,chair,,,,,,,,,,,,,,,,,,,,,,,,,
p011,3/18/17,14:34,middle,practice_trial,2,banana,,,,,,,,,,,,,,,,,,,,,,,,,
p012,3/18/17,14:41,middle,vocab_data,24,"{""0"":""walrus""","1:""goat""","2:""panda""","3:""seagull""","4:""peacock""","5:""penguin""","6:""rhinoceros""","7:""gorilla""","8:""koala""","9:""buffalo""","10:""owl""","11:""eagle""","12:""ostrich""","13:""rooster""","14:""panther""","15:""coyote""","16:""hyena""","17:""possum""","18:""raccoon""","19:""woodpecker""","20:""porcupine""","21:""hippopotamus""","22:""chimpanzee""","23:""stork""}",,
p012,3/18/17,14:41,middle,practice_trial,1,chair,,,,,,,,,,,,,,,,,,,,,,,,,
p012,3/18/17,14:41,middle,practice_trial,2,banana,,,,,,,,,,,,,,,,,,,,,,,,,
p013,3/18/17,14:55,young,vocab_data,11,"{""0"":""goat""","1:""panda""","2:""camel""","3:""penguin""","4:""gorilla""","5:""koala""","6:""owl""","7:""hawk""","8:""porcupine""","9:""hippopotamus""","10:""stork""}",,,,,,,,,,,,,,,
