,X,Y,age_group
0,-0.0263792520978,0.666077372937,young
1,-0.0360812707339,-0.592667089756,young
2,-0.281915782268,-0.852358127137,young
3,-0.119485448556,-0.401914535841,young
4,-0.758930483327,-0.882740068583,young
5,-0.263278845352,-1.15461239374,young
6,-0.132276883892,0.260796021058,young
7,0.489805914095,-0.272238085662,young
8,-0.898701814052,0.282977258066,young
9,-0.122986043054,-0.387811888252,young
10,0.76504180561,0.805020227222,young
11,0.748403125308,-0.778920486548,young
12,-0.904211373971,0.790302328428,young
13,-0.976252806311,-0.0142873266781,young
14,0.147214571007,-0.770323385239,young
15,0.659520524623,-1.16094358087,young
0,-0.74007150749,0.083170653342,mid
1,-0.725484774297,-0.546465810846,mid
2,-0.33872768769,0.97777189128,mid
3,-0.155659479823,0.391476244186,mid
4,0.349216187811,-0.760858925541,mid
5,1.13302543094,0.0554743308045,mid
6,-0.20296567011,-0.426019110254,mid
7,0.434885519131,0.224165523384,mid
8,0.48203944913,-1.14701464969,mid
9,0.522432754429,0.688500569931,mid
10,0.484053815408,-0.42610698333,mid
11,0.144086198225,-0.305236903531,mid
12,-0.813463603306,-0.684626317052,mid
13,-0.245803160544,-0.483853712456,mid
14,1.4994574083,0.679405584061,mid
15,0.73070142835,0.940937036712,mid
0,0.621383844007,0.366533886661,old
1,1.03418556542,-0.576493003776,old
2,-0.141267892702,1.92678154167,old
3,0.225588319211,0.605199254906,old
4,-0.349974689677,-1.0051150351,old
5,-0.0396625841973,-0.866844468228,old
6,0.603889008286,0.379684237555,old
7,-1.38183155727,0.303947188945,old
8,-0.558701834963,0.532120847588,old
9,-0.677467045874,1.22036642858,old
10,0.522511861192,-0.749908420614,old
11,0.169751059439,0.242366094209,old
12,-0.801170546388,0.97771550038,old
13,0.488670771865,-0.375411735789,old
14,-0.159843491373,-0.758392738937,old
15,-1.14438198775,-0.319082240819,old
