,alg_id,alg_label,exp_uid,network_delay,participant_uid,query_uid,response_time,target_center,target_left,target_right,target_winner,timestamp_query_generated
0,STE,STE,17e7f4817d914d632f592092d00f3f,0.226073,17e7f4817d914d632f592092d00f3f_P002,0a4b8c40793c84a64a323e42b9d1bcf5,87.019,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,2017-03-11 20:18:20.031725
1,CrowdKernel,Test,17e7f4817d914d632f592092d00f3f,0.229483,17e7f4817d914d632f592092d00f3f_P002,6982d1bd867fe37145994451742677d5,10.183,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/swan.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,2017-03-11 20:19:47.499678
2,CrowdKernel,Test,17e7f4817d914d632f592092d00f3f,0.206676,17e7f4817d914d632f592092d00f3f_P002,5ade575d16c0fe232994c1ac0e10a88a,6.383,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,2017-03-11 20:19:58.155032
3,RandomSampling,RandomSampling,17e7f4817d914d632f592092d00f3f,0.219986,17e7f4817d914d632f592092d00f3f_P002,980a298bde8e0f9b0944e79d1aa53ed2,7.095,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/elephant.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,2017-03-11 20:20:04.974165
4,RandomSampling,RandomSampling,17e7f4817d914d632f592092d00f3f,0.212794,17e7f4817d914d632f592092d00f3f_P002,b16576e836150ef706982c9475ca058b,7.601,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/raccoon.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/swan.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,2017-03-11 20:20:12.500740
5,CrowdKernel,Test,17e7f4817d914d632f592092d00f3f,0.216871,17e7f4817d914d632f592092d00f3f_P002,05f1d67e875cc3c8a89d50d1d1b40dda,7.406,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,2017-03-11 20:20:20.544546
6,RandomSampling,RandomSampling,17e7f4817d914d632f592092d00f3f,0.204904,17e7f4817d914d632f592092d00f3f_P002,5ab2bb381f7cf027c29529eaa94f98c9,9.165,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/peacock.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/owl.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/owl.jpg,2017-03-11 20:20:28.393438
7,STE,STE,17e7f4817d914d632f592092d00f3f,0.221148,17e7f4817d914d632f592092d00f3f_P002,e11f1789a20697ee119c9eb012d902e0,7.183,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/bird.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,2017-03-11 20:20:37.980874
8,UncertaintySampling,UncertaintySampling,17e7f4817d914d632f592092d00f3f,0.195403,17e7f4817d914d632f592092d00f3f_P002,e8bd33a3a5529182efc99004903ddb44,6.91,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,2017-03-11 20:20:45.589818
9,STE,STE,17e7f4817d914d632f592092d00f3f,0.219941,17e7f4817d914d632f592092d00f3f_P002,41c3061f3a1dd7c1175697fa1bbc251d,6.779,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,2017-03-11 20:20:52.929559
