Time,Action,Data
2017/04/08 13:42:19,Create,"{u'description': u'Which pictures go together? (5 mins)', u'title': u'Picture game', u'url': u'http://langcog.stanford.edu/expts/MLL/nextKids_adult/nextKids_pilot_adult_next.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 90}, u'frame_height': 450, u'experimenter': u'Molly Lewis', u'keywords': u'Picture game', u'auto_approval_delay': u'10 minutes', u'reward': 2.0, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2017/04/08 13:45:32,Create,"{u'description': u'Which pictures go together? (5 mins)', u'title': u'Picture game', u'url': u'http://langcog.stanford.edu/expts/MLL/nextKids_adult/nextKids_pilot_adult_next.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 90}, u'frame_height': 450, u'experimenter': u'Molly Lewis', u'keywords': u'Picture game', u'auto_approval_delay': u'10 minutes', u'reward': 2.0, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2017/04/08 13:46:10,Expire,
