,alg_id,alg_label,exp_uid,network_delay,participant_uid,query_uid,response_time,target_center,target_left,target_right,target_winner,timestamp_query_generated
0,RandomSampling,RandomSampling,68094e6fd0315b0f0c68e3ed9341ee,0.230545,68094e6fd0315b0f0c68e3ed9341ee_p001,7a336f093788f485ad8f8f3a06f2c0fb,31.811,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/zebra.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/bird.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/rooster.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/rooster.jpg,2017-03-11 20:00:11.652741
1,CrowdKernel,Test,68094e6fd0315b0f0c68e3ed9341ee,0.196105,68094e6fd0315b0f0c68e3ed9341ee_p001,5c3c321e3c8c4a418cf670a068f5272f,9.114,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/owl.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/zebra.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/owl.jpg,2017-03-11 20:00:44.227613
2,CrowdKernel,Test,68094e6fd0315b0f0c68e3ed9341ee,0.207164,68094e6fd0315b0f0c68e3ed9341ee_p001,f49ddac4987782588b7fefb61e0ec5f4,8.545,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/bird.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,2017-03-11 20:00:54.159397
3,RandomSampling,RandomSampling,68094e6fd0315b0f0c68e3ed9341ee,0.29103,68094e6fd0315b0f0c68e3ed9341ee_p001,c72f83cf5841b5c3ced87bba6f8381e5,8.577,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/swan.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/elephant.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,2017-03-11 20:01:03.451403
4,STE,STE,68094e6fd0315b0f0c68e3ed9341ee,0.430091,68094e6fd0315b0f0c68e3ed9341ee_p001,95f80101347b840210fe2c0f5fc9dc61,8.806,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/zebra.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,2017-03-11 20:01:12.874292
5,STE,STE,68094e6fd0315b0f0c68e3ed9341ee,0.323895,68094e6fd0315b0f0c68e3ed9341ee_p001,2d8bcae1f9e9b85e786f8d9826b71a46,6.258,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/peacock.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/peacock.jpg,2017-03-11 20:01:22.730030
6,STE,STE,68094e6fd0315b0f0c68e3ed9341ee,0.312263,68094e6fd0315b0f0c68e3ed9341ee_p001,681232098a5647c56e85c74da5d5792a,5.52,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/swan.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/owl.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/swan.jpg,2017-03-11 20:01:29.969661
7,UncertaintySampling,UncertaintySampling,68094e6fd0315b0f0c68e3ed9341ee,0.291813,68094e6fd0315b0f0c68e3ed9341ee_p001,3dff94ff399a2d9447cfdadfc25e76a4,4.244,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/zebra.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,2017-03-11 20:01:36.465815
8,UncertaintySampling,UncertaintySampling,68094e6fd0315b0f0c68e3ed9341ee,0.283948,68094e6fd0315b0f0c68e3ed9341ee_p001,8920fceaf0396b96b535d9c33ab34d46,6.061,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/rooster.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/elephant.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/elephant.jpg,2017-03-11 20:01:41.523937
9,STE,STE,68094e6fd0315b0f0c68e3ed9341ee,0.316088,68094e6fd0315b0f0c68e3ed9341ee_p001,beafb24737794d1f5e828452ea3e5a4a,8.095,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/bird.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/bird.jpg,2017-03-11 20:01:48.407784
