exp,subid,date,time,age_group,trial_type,trial_num,response
2,p028,3/23/17,11:20,young,practice_trial,1,chair
2,p028,3/23/17,11:20,young,practice_trial,2,banana
2,p029,3/23/17,11:46,young,practice_trial,1,plane
2,p029,3/23/17,11:46,young,practice_trial,2,banana
2,p030,3/23/17,12:02,old,practice_trial,1,chair
2,p030,3/23/17,12:02,old,practice_trial,2,banana
2,p031,3/23/17,12:13,young,practice_trial,1,chair
2,p031,3/23/17,12:13,young,practice_trial,2,banana
2,p032,3/23/17,12:34,middle,practice_trial,1,plane
2,p032,3/23/17,12:34,middle,practice_trial,2,banana
2,p033,3/23/17,13:08,old,practice_trial,1,chair
2,p033,3/23/17,13:08,old,practice_trial,2,banana
2,P202,3/30/17,15:23,middle,practice_trial,1,chair
2,P202,3/30/17,15:23,middle,practice_trial,2,trombone
2,P203,3/30/17,15:50,old,practice_trial,1,chair
2,P203,3/30/17,15:50,old,practice_trial,2,banana
2,p034,3/31/17,14:19,young,practice_trial,1,chair
2,p034,3/31/17,14:19,young,practice_trial,2,trombone
2,p035,3/31/17,14:30,young,practice_trial,1,chair
2,p035,3/31/17,14:30,young,practice_trial,2,banana
2,p036,3/31/17,15:00,old,practice_trial,1,chair
2,p036,3/31/17,15:00,old,practice_trial,2,banana
2,p037,3/31/17,15:14,middle,practice_trial,1,chair
2,p037,3/31/17,15:14,middle,practice_trial,2,banana
2,p038,3/31/17,15:30,old,practice_trial,1,chair
2,p038,3/31/17,15:30,old,practice_trial,2,banana
2,p039,3/31/17,16:03,middle,practice_trial,1,chair
2,p039,3/31/17,16:03,middle,practice_trial,2,banana
2,p040,3/31/17,16:29,young,practice_trial,1,chair
2,p040,3/31/17,16:29,young,practice_trial,2,banana
2,p041,3/31/17,16:44,old,practice_trial,1,chair
2,p041,3/31/17,16:44,old,practice_trial,2,banana
2,P042,4/1/17,13:55,old,practice_trial,1,chair
2,P042,4/1/17,13:55,old,practice_trial,2,banana
2,p043,4/1/17,14:00,old,practice_trial,1,chair
2,p043,4/1/17,14:00,old,practice_trial,2,banana
2,P044,4/1/17,14:05,middle,practice_trial,1,chair
2,P044,4/1/17,14:05,middle,practice_trial,2,banana
2,P046,4/1/17,14:13,young,practice_trial,1,chair
2,P046,4/1/17,14:13,young,practice_trial,2,trombone
2,p045,4/1/17,14:13,middle,practice_trial,1,chair
2,p045,4/1/17,14:13,middle,practice_trial,2,banana
2,p047,4/1/17,14:32,young,practice_trial,1,chair
2,p047,4/1/17,14:32,young,practice_trial,2,trombone
2,p048,4/1/17,14:24,middle,practice_trial,1,chair
2,p048,4/1/17,14:24,middle,practice_trial,2,banana
2,P048,4/1/17,14:38,middle,practice_trial,1,chair
2,P048,4/1/17,14:38,middle,practice_trial,2,banana
2,P048,4/1/17,14:39,middle,practice_trial,1,chair
2,P048,4/1/17,14:39,middle,practice_trial,2,banana
2,p049,4/1/17,14:44,middle,practice_trial,1,chair
2,p049,4/1/17,14:44,middle,practice_trial,2,banana
2,P050,4/1/17,14:44,old,practice_trial,1,chair
2,P050,4/1/17,14:44,old,practice_trial,2,banana
2,P050,4/1/17,14:46,old,practice_trial,1,chair
2,P050,4/1/17,14:46,old,practice_trial,2,banana
2,P050,4/1/17,14:46,old,practice_trial,1,chair
2,P050,4/1/17,14:46,old,practice_trial,2,banana
2,P050,4/1/17,14:47,old,practice_trial,1,chair
2,P050,4/1/17,14:47,old,practice_trial,2,banana
2,P050,4/1/17,14:48,old,practice_trial,1,chair
2,P050,4/1/17,14:48,old,practice_trial,2,banana
2,p051,4/1/17,14:51,middle,practice_trial,1,chair
2,p051,4/1/17,14:51,middle,practice_trial,2,banana
2,p053,4/1/17,15:22,middle,practice_trial,1,chair
2,p053,4/1/17,15:22,middle,practice_trial,2,banana
2,P052,4/1/17,15:14,young,practice_trial,1,chair
2,P052,4/1/17,15:14,young,practice_trial,2,trombone
2,p055,4/1/17,15:44,middle,practice_trial,1,chair
2,p055,4/1/17,15:44,middle,practice_trial,2,banana
2,p057,4/1/17,15:54,young,practice_trial,1,chair
2,p057,4/1/17,15:54,young,practice_trial,2,banana
2,p059,4/1/17,16:16,middle,practice_trial,1,chair
2,p059,4/1/17,16:16,middle,practice_trial,2,banana
2,p063,4/1/17,16:30,middle,practice_trial,1,chair
2,p063,4/1/17,16:30,middle,practice_trial,2,banana
2,p010,3/18/17,13:26,young,practice_trial,1,chair
2,p010,3/18/17,13:26,young,practice_trial,2,banana
2,p011,3/18/17,14:34,middle,practice_trial,1,chair
2,p011,3/18/17,14:34,middle,practice_trial,2,banana
2,p012,3/18/17,14:41,middle,practice_trial,1,chair
2,p012,3/18/17,14:41,middle,practice_trial,2,banana
2,p013,3/18/17,14:55,young,practice_trial,1,chair
2,p013,3/18/17,14:55,young,practice_trial,2,trombone
2,p014,3/18/17,15:29,middle,practice_trial,1,chair
2,p014,3/18/17,15:29,middle,practice_trial,2,banana
2,p015,3/18/17,15:46,middle,practice_trial,1,chair
2,p015,3/18/17,15:46,middle,practice_trial,2,banana
2,p016,3/18/17,15:59,young,practice_trial,1,chair
2,p016,3/18/17,15:59,young,practice_trial,2,banana
2,p017,3/18/17,16:06,middle,practice_trial,1,chair
2,p017,3/18/17,16:06,middle,practice_trial,2,banana
2,p018,3/18/17,16:30,young,practice_trial,1,plane
2,p018,3/18/17,16:30,young,practice_trial,2,banana
2,p019,3/21/17,11:39,young,practice_trial,1,chair
2,p019,3/21/17,11:39,young,practice_trial,2,banana
2,p020,3/21/17,12:33,young,practice_trial,1,chair
2,p020,3/21/17,12:33,young,practice_trial,2,banana
2,p021,3/21/17,13:01,middle,practice_trial,1,chair
2,p021,3/21/17,13:01,middle,practice_trial,2,banana
2,p023,3/22/17,14:40,middle,practice_trial,1,chair
2,p023,3/22/17,14:40,middle,practice_trial,2,banana
2,p024,3/22/17,15:00,young,practice_trial,1,chair
2,p024,3/22/17,15:00,young,practice_trial,2,banana
2,p025,3/22/17,15:12,old,practice_trial,1,chair
2,p025,3/22/17,15:12,old,practice_trial,2,banana
2,p026,3/22/17,15:29,young,practice_trial,1,plane
2,p026,3/22/17,15:29,young,practice_trial,2,trombone
2,p027,3/22/17,16:08,young,practice_trial,1,chair
2,p027,3/22/17,16:08,young,practice_trial,2,banana
1,p001,3/11/17,13:49,middle,practice_trial,1,chair
1,p001,3/11/17,13:49,middle,practice_trial,2,banana
1,P002,3/11/17,14:14,young,practice_trial,1,chair
1,P002,3/11/17,14:14,young,practice_trial,2,trombone
1,p003,3/11/17,14:33,middle,practice_trial,1,chair
1,p003,3/11/17,14:33,middle,practice_trial,2,banana
1,p005,3/11/17,14:49,young,practice_trial,1,chair
1,p005,3/11/17,14:49,young,practice_trial,2,banana
1,P004,3/11/17,13:25,young,practice_trial,1,chair
1,P004,3/11/17,13:25,young,practice_trial,2,banana
1,P004,3/11/17,14:57,young,practice_trial,1,chair
1,P004,3/11/17,14:57,young,practice_trial,2,banana
1,p007,3/11/17,14:59,young,practice_trial,1,chair
1,p007,3/11/17,14:59,young,practice_trial,2,trombone
1,p009,3/11/17,15:21,middle,practice_trial,1,chair
1,p009,3/11/17,15:21,middle,practice_trial,2,banana
1,p006,3/11/17,16:29,young,practice_trial,1,carrot
1,p006,3/11/17,16:29,young,practice_trial,2,banana
