definition,aoa,category,lexical_category,lexical_class,uni_lemma
a,26.54606442,quantifiers,function_words,function_words,a
a lot,28.18563043,quantifiers,function_words,function_words,a lot
about,31.78603182,locations,function_words,function_words,about
above,31.90016734,locations,function_words,function_words,above
after,28.49021047,time_words,other,other,after
airplane,19.73577377,vehicles,nouns,nouns,airplane
all,26.00096597,quantifiers,function_words,function_words,all
all gone,18.55811433,descriptive_words,predicates,adjectives,all gone
alligator,24.70700023,animals,nouns,nouns,alligator
am,28.29937426,helping_verbs,function_words,function_words,am
an,33.09479884,quantifiers,function_words,function_words,an
and,26.57007996,connecting_words,function_words,function_words,and
animal,23.63597963,animals,nouns,nouns,animal
ankle,29.44079719,body_parts,nouns,nouns,ankle
another,27.33268909,quantifiers,function_words,function_words,another
ant,24.12172168,animals,nouns,nouns,ant
any,28.74648002,quantifiers,function_words,function_words,any
apple,17.81235778,food_drink,nouns,nouns,apple
applesauce,24.60484699,food_drink,nouns,nouns,applesauce
are,28.72017885,helping_verbs,function_words,function_words,are
arm,21.27554567,body_parts,nouns,nouns,arm
around,28.79040235,locations,function_words,function_words,around
asleep,24.02349718,descriptive_words,predicates,adjectives,asleep
at,27.67506658,locations,function_words,function_words,at
aunt,25.05113257,people,other,other,aunt
awake,25.31605772,descriptive_words,predicates,adjectives,awake
away,26.13999933,locations,function_words,function_words,away
baa baa,15.75268236,sounds,other,other,baa baa
baby,15.36150969,people,other,other,baby
babysitter,30.25428237,people,other,other,babysitter
babysitter's name,24.39419701,people,other,other,babysitter's name
back,25.59412822,locations,function_words,function_words,back
backyard,26.41409814,outside,nouns,nouns,backyard
bad,24.30348689,descriptive_words,predicates,adjectives,bad
ball,11.72606605,toys,nouns,nouns,ball
balloon,16.64607583,toys,nouns,nouns,balloon
banana,15.64679331,food_drink,nouns,nouns,banana
basement,31.73235072,furniture_rooms,nouns,nouns,basement
basket,24.64539619,household,nouns,nouns,basket
bat,25.420428,toys,nouns,nouns,bat
bath,17.66022614,games_routines,other,other,bath
bathroom,22.88970014,furniture_rooms,nouns,nouns,bathroom
bathtub,21.59165313,furniture_rooms,nouns,nouns,bathtub
be,29.69434601,helping_verbs,function_words,function_words,be
beach,26.0894423,places,other,other,beach
beads,28.52510339,clothing,nouns,nouns,beads
