"","Participant.ID","Timestamp","Center","Left","Right","Answer","Alg.Label","Response.Time..s.","Participant.ID.sub","Condition","Session"
"1","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","cow.jpg","owl.jpg","bird.jpg","bird.jpg","UncertaintySampling","5.573","p011","middle","middle"
"2","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","rooster.jpg","bird.jpg","zebra.jpg","bird.jpg","UncertaintySampling","3.51","p011","middle","middle"
"3","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","giraffe.jpg","penguin.jpg","elephant.jpg","elephant.jpg","UncertaintySampling","4.298","p011","middle","middle"
"4","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","ostrich.jpg","owl.jpg","elephant.jpg","owl.jpg","UncertaintySampling","4.513","p011","middle","middle"
"5","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","monkey.jpg","rooster.jpg","elephant.jpg","elephant.jpg","UncertaintySampling","4.016","p011","middle","middle"
"6","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","bird.jpg","giraffe.jpg","monkey.jpg","monkey.jpg","UncertaintySampling","5.274","p011","middle","middle"
"7","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","raccoon.jpg","cow.jpg","swan.jpg","swan.jpg","RandomSampling","3.817","p011","middle","middle"
"8","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","rooster.jpg","ostrich.jpg","owl.jpg","ostrich.jpg","RandomSampling","3.866","p011","middle","middle"
"9","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","owl.jpg","ostrich.jpg","zebra.jpg","ostrich.jpg","UncertaintySampling","3.49","p011","middle","middle"
"10","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","ostrich.jpg","swan.jpg","pig.jpg","swan.jpg","UncertaintySampling","1.897","p011","middle","middle"
"11","c09f4cf830b5dcf5b8ed1686292d6a_p011","2017-01-01 07:35:01.01","duck.jpg","penguin.jpg","raccoon.jpg","penguin.jpg","UncertaintySampling","2.978","p011","middle","middle"
